ITERACAO,INSTANCIA,TAM_POPULACAO,QTD_TURMAS_HEURISTICA,QTD_REPT_HEURISTICA,PESO_JANELA,PESO_SEXTO,TEMPO_EXEC
ITERACAO,INSTANCIA,TAM_POPULACAO,QTD_TURMAS_HEURISTICA,QTD_REPT_HEURISTICA,PESO_JANELA,PESO_SEXTO,TEMPO_EXEC
176,,50,0,10,2,2,0,00
177,,50,0,10,2,5,0,00
178,,50,0,10,5,1,0,00
179,,50,0,10,5,2,0,00
180,,50,0,10,5,5,0,00
181,,50,1,1,1,1,0,00
182,,50,1,1,1,2,0,00
183,,50,1,1,1,5,0,00
184,,50,1,1,2,1,0,00
185,,50,1,1,2,2,0,00
186,,50,1,1,2,5,0,00
187,,50,1,1,5,1,0,00
188,,50,1,1,5,2,0,00
189,,50,1,1,5,5,0,00
190,,50,1,2,1,1,0,00
191,,50,1,2,1,2,0,00
192,,50,1,2,1,5,0,00
193,,50,1,2,2,1,0,00
194,,50,1,2,2,2,0,00
195,,50,1,2,2,5,0,00
196,,50,1,2,5,1,0,00
197,,50,1,2,5,2,0,00
198,,50,1,2,5,5,0,00
199,,50,1,5,1,1,0,00
200,,50,1,5,1,2,0,00
201,,50,1,5,1,5,0,00
202,,50,1,5,2,1,0,00
203,,50,1,5,2,2,0,00
204,,50,1,5,2,5,0,00
205,,50,1,5,5,1,0,00
206,,50,1,5,5,2,0,00
207,,50,1,5,5,5,0,00
208,,50,1,10,1,1,0,00
209,,50,1,10,1,2,0,00
210,,50,1,10,1,5,0,00
211,,50,1,10,2,1,0,00
212,,50,1,10,2,2,0,00
213,,50,1,10,2,5,0,00
214,,50,1,10,5,1,0,00
215,,50,1,10,5,2,0,00
216,,50,1,10,5,5,0,00
217,,50,2,1,1,1,0,00
218,,50,2,1,1,2,0,00
219,,50,2,1,1,5,0,00
220,,50,2,1,2,1,0,00
221,,50,2,1,2,2,0,00
222,,50,2,1,2,5,0,00
223,,50,2,1,5,1,0,00
224,,50,2,1,5,2,0,00
225,,50,2,1,5,5,0,00
226,,50,2,2,1,1,0,00
227,,50,2,2,1,2,0,00
228,,50,2,2,1,5,0,00
229,,50,2,2,2,1,0,00
230,,50,2,2,2,2,0,00
231,,50,2,2,2,5,0,00
232,,50,2,2,5,1,0,00
233,,50,2,2,5,2,0,00
234,,50,2,2,5,5,0,00
235,,50,2,5,1,1,0,00
236,,50,2,5,1,2,0,00
237,,50,2,5,1,5,0,00
238,,50,2,5,2,1,0,00
239,,50,2,5,2,2,0,00
240,,50,2,5,2,5,0,00
241,,50,2,5,5,1,0,00
242,,50,2,5,5,2,0,00
243,,50,2,5,5,5,0,00
244,,50,2,10,1,1,0,00
245,,50,2,10,1,2,0,00
246,,50,2,10,1,5,0,00
247,,50,2,10,2,1,0,00
248,,50,2,10,2,2,0,00
249,,50,2,10,2,5,0,00
250,,50,2,10,5,1,0,00
251,,50,2,10,5,2,0,00
252,,50,2,10,5,5,0,00
253,,50,1000,1,1,1,0,00
254,,50,1000,1,1,2,0,00
255,,50,1000,1,1,5,0,00
256,,50,1000,1,2,1,0,00
257,,50,1000,1,2,2,0,00
258,,50,1000,1,2,5,0,00
259,,50,1000,1,5,1,0,00
260,,50,1000,1,5,2,0,00
261,,50,1000,1,5,5,0,00
262,,50,1000,2,1,1,0,00
263,,50,1000,2,1,2,0,00
264,,50,1000,2,1,5,0,00
265,,50,1000,2,2,1,0,00
266,,50,1000,2,2,2,0,00
267,,50,1000,2,2,5,0,00
268,,50,1000,2,5,1,0,00
269,,50,1000,2,5,2,0,00
270,,50,1000,2,5,5,0,00
271,,50,1000,5,1,1,0,00
272,,50,1000,5,1,2,0,00
273,,50,1000,5,1,5,0,00
274,,50,1000,5,2,1,0,00
275,,50,1000,5,2,2,0,00
276,,50,1000,5,2,5,0,00
277,,50,1000,5,5,1,0,00
278,,50,1000,5,5,2,0,00
279,,50,1000,5,5,5,0,00
280,,50,1000,10,1,1,0,00
281,,50,1000,10,1,2,0,00
282,,50,1000,10,1,5,0,00
283,,50,1000,10,2,1,0,00
